Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,TNo-P,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,AvgCNOT,MaxCNOT,NoToff,%QInToff,AvgToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,%QM,cluster
23,3,3,1,1.0,1,0,1,0,0.0,1,2,0,0,0,0.0,0.0,0,1,1.0,0.3333,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0.3333,1
37,2,3,1,1.0,0,0,0,2,0.5,0,2,0,0,1,1.0,0.5,1,0,0.0,0.0,0,3,1,0.6667,0,0,0.0,0.0,0.0,0,0,0.0,1
21,3,4,1,1.0,1,0,1,0,0.0,1,2,0,0,2,1.0,0.6667,2,0,0.0,0.0,0,4,2,0.5,0,0,0.0,0.0,0.0,0,1,0.3333,1
20,3,3,1,1.0,0,0,0,0,0.0,1,1,0,0,2,1.0,0.6667,2,0,0.0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0.3333,1
6,3,7,2,1.1429,0,0,0,2,0.3333,2,4,1,0,3,1.0,1.0,2,0,0.0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,0.6667,2
17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2
30,2,8,2,0.875,0,1,1,2,0.5,2,5,0,0,2,1.0,1.0,2,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,1.0,2
48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3
28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3
4,4,5,4,2.4,1,0,1,7,0.0,3,11,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0.75,4
5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4
24,3,6,1,1.0,0,0,0,0,0.0,1,1,0,0,4,1.0,1.3333,2,0,0.0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0.3333,5
33,5,4,1,1.0,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0.0,5
46,4,14,4,1.4286,0,0,0,0,0.0,8,8,0,0,8,1.0,2.0,4,0,0.0,0.0,0,20,8,0.4,4,0,1.0,0.0,1.0,1,0,0.0,8
8,8,5,8,5.2,1,0,1,16,0.0,8,25,0,0,0,0.0,0.0,0,0,0.0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,1.0,9
42,6,12,2,1.4167,6,2,8,4,0.3333,0,12,1,0,0,0.0,0.0,0,4,1.0,0.6667,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,0.0,6
13,8,7,4,1.2857,0,0,0,4,0.5,0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,0.0,7
35,6,11,3,1.3636,0,0,0,6,0.5,0,6,0,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4,8,6,0.6667,0.6667,1.5,3,0,0.0,7
